iter	Passed	Remaining
0	149	74640
1	272	67788
2	385	63811
3	542	67315
4	716	70927
5	863	71115
6	988	69638
7	1107	68089
8	1229	67085
9	1334	65396
10	1448	64389
11	1569	63820
12	1714	64227
13	1833	63662
14	1954	63185
15	2150	65039
16	2268	64459
17	2366	63372
18	2491	63066
19	2628	63093
20	2692	61418
21	2838	61674
22	2995	62126
23	3132	62121
24	3293	62573
25	3422	62397
26	3603	63124
27	3766	63490
28	3890	63185
29	3993	62563
30	4132	62526
31	4260	62304
32	4360	61713
33	4504	61737
34	4635	61584
35	4766	61434
36	4929	61689
37	5040	61278
38	5182	61254
39	5311	61086
40	5421	60696
41	5544	60461
42	5671	60276
43	5810	60221
44	5928	59943
45	6047	59681
46	6219	59940
47	6353	59826
48	6469	59546
49	6624	59621
50	6748	59417
51	6904	59486
52	7038	59363
53	7189	59379
54	7327	59287
55	7441	58996
56	7571	58842
57	7719	58827
58	7836	58576
59	7976	58491
60	8107	58348
61	8252	58297
62	8365	58024
63	8486	57815
64	8627	57738
65	8797	57848
66	8975	58004
67	9105	57849
68	9302	58105
69	9445	58021
70	9561	57773
71	9675	57517
72	9817	57425
73	9922	57120
74	10077	57107
75	10207	56949
76	10334	56771
77	10474	56671
78	10583	56401
79	10764	56515
80	10946	56623
81	11077	56466
82	11217	56355
83	11369	56305
84	11498	56139
85	11636	56018
86	11776	55905
87	11905	55739
88	12049	55643
89	12167	55428
90	12325	55397
91	12468	55293
92	12584	55073
93	12744	55044
94	12875	54890
95	13053	54933
96	13182	54768
97	13329	54676
98	13476	54585
99	13581	54327
100	13734	54260
101	13839	54003
102	13961	53813
103	14115	53745
104	14255	53629
105	14389	53484
106	14519	53330
107	14671	53252
108	14790	53057
109	14927	52924
110	15048	52738
111	15193	52634
112	15323	52480
113	15466	52370
114	15613	52270
115	15748	52133
116	15888	52012
117	16022	51868
118	16182	51809
119	16319	51679
120	16477	51611
121	16633	51536
122	16766	51390
123	16910	51278
124	17050	51150
125	17208	51079
126	17337	50919
127	17453	50723
128	17562	50510
129	17696	50368
130	17841	50255
131	17983	50137
132	18109	49971
133	18227	49785
134	18357	49632
135	18469	49432
136	18618	49331
137	18742	49164
138	18859	48980
139	18953	48736
140	19057	48522
141	19144	48266
142	19253	48065
143	19352	47844
144	19463	47652
145	19568	47446
146	19660	47211
147	19782	47049
148	19887	46849
149	19976	46611
150	20086	46424
151	20199	46246
152	20280	45996
153	20413	45864
154	20540	45718
155	20644	45523
156	20766	45367
157	20873	45180
158	20965	44962
159	21083	44803
160	21201	44642
161	21311	44465
162	21418	44282
163	21540	44132
164	21634	43924
165	21717	43696
166	21815	43499
167	21917	43312
168	22020	43129
169	22128	42954
170	22237	42785
171	22333	42588
172	22431	42399
173	22523	42199
174	22632	42031
175	22745	41872
176	22842	41685
177	22945	41508
178	23072	41375
179	23182	41213
180	23285	41038
181	23401	40887
182	23515	40735
183	23623	40571
184	23733	40411
185	23833	40234
186	23935	40063
187	24026	39874
188	24137	39718
189	24249	39564
190	24375	39434
191	24447	39217
192	24554	39057
193	24647	38876
194	24777	38754
195	24852	38547
196	24949	38373
197	25042	38196
198	25105	37973
199	25213	37820
200	25320	37665
201	25411	37487
202	25533	37356
203	25622	37177
204	25730	37027
205	25839	36877
206	25927	36699
207	26016	36523
208	26101	36342
209	26185	36160
210	26292	36012
211	26367	35820
212	26460	35653
213	26540	35469
214	26627	35297
215	26734	35150
216	26829	34990
217	26920	34823
218	26997	34640
219	27084	34471
220	27159	34287
221	27236	34106
222	27313	33927
223	27387	33745
224	27456	33557
225	27547	33398
226	27614	33210
227	27672	33013
228	27742	32830
229	27798	32633
230	27865	32449
231	27928	32262
232	27990	32074
233	28047	31883
234	28111	31700
235	28173	31516
236	28233	31330
237	28288	31140
238	28352	30962
239	28420	30788
240	28480	30607
241	28538	30424
242	28603	30251
243	28674	30084
244	28752	29925
245	28819	29756
246	28888	29590
247	28947	29414
248	29012	29245
249	29073	29073
250	29145	28913
251	29205	28742
252	29266	28571
253	29321	28398
254	29387	28235
255	29447	28067
256	29510	27903
257	29576	27742
258	29646	27586
259	29717	27431
260	29787	27276
261	29849	27115
262	29910	26953
263	29971	26793
264	30027	26627
265	30092	26472
266	30150	26311
267	30209	26151
268	30274	25997
269	30337	25843
270	30398	25687
271	30461	25533
272	30523	25380
273	30588	25230
274	30645	25073
275	30713	24927
276	30777	24777
277	30842	24629
278	30902	24478
279	30960	24326
280	31021	24176
281	31083	24028
282	31164	23896
283	31230	23752
284	31292	23606
285	31358	23464
286	31422	23320
287	31484	23176
288	31551	23035
289	31616	22894
290	31681	22754
291	31746	22613
292	31815	22477
293	31875	22334
294	31939	22195
295	31999	22053
296	32052	21908
297	32114	21769
298	32178	21632
299	32241	21494
300	32297	21352
301	32360	21216
302	32424	21081
303	32489	20947
304	32552	20812
305	32613	20676
306	32689	20550
307	32741	20410
308	32810	20281
309	32865	20143
310	32917	20004
311	32968	19865
312	33015	19724
313	33071	19590
314	33124	19453
315	33173	19315
316	33222	19179
317	33275	19044
318	33322	18907
319	33372	18771
320	33413	18632
321	33455	18493
322	33500	18358
323	33546	18222
324	33597	18090
325	33646	17958
326	33700	17829
327	33752	17699
328	33806	17571
329	33857	17441
330	33906	17311
331	33954	17181
332	34002	17052
333	34056	16926
334	34108	16799
335	34157	16672
336	34206	16545
337	34257	16419
338	34307	16293
339	34357	16168
340	34406	16042
341	34451	15916
342	34504	15793
343	34550	15668
344	34601	15545
345	34655	15424
346	34711	15305
347	34764	15184
348	34815	15063
349	34860	14940
350	34910	14819
351	34956	14697
352	34999	14574
353	35047	14454
354	35091	14333
355	35139	14213
356	35191	14096
357	35236	13976
358	35277	13855
359	35323	13736
360	35379	13622
361	35432	13507
362	35478	13389
363	35524	13272
364	35571	13156
365	35614	13039
366	35665	12925
367	35713	12810
368	35762	12696
369	35808	12581
370	35856	12467
371	35904	12354
372	35959	12243
373	36009	12131
374	36065	12021
375	36118	11911
376	36182	11804
377	36240	11696
378	36289	11585
379	36400	11494
380	36538	11412
381	36609	11308
382	36673	11203
383	36738	11098
384	36788	10988
385	36838	10879
386	36893	10772
387	36943	10664
388	36993	10555
389	37045	10448
390	37092	10340
391	37146	10234
392	37197	10127
393	37247	10021
394	37300	9915
395	37346	9808
396	37395	9702
397	37444	9596
398	37494	9491
399	37544	9386
400	37596	9281
401	37649	9178
402	37704	9075
403	37752	8970
404	37797	8866
405	37844	8761
406	37892	8658
407	37937	8554
408	37984	8451
409	38035	8349
410	38086	8247
411	38135	8145
412	38176	8042
413	38221	7939
414	38267	7837
415	38308	7735
416	38357	7634
417	38403	7533
418	38455	7434
419	38506	7334
420	38553	7234
421	38598	7134
422	38649	7035
423	38702	6937
424	38752	6838
425	38807	6741
426	38871	6645
427	38925	6548
428	38995	6453
429	39059	6358
430	39111	6261
431	39167	6165
432	39223	6069
433	39269	5971
434	39322	5875
435	39378	5780
436	39442	5686
437	39497	5590
438	39545	5494
439	39608	5401
440	39664	5306
441	39712	5211
442	39758	5115
443	39812	5021
444	39867	4927
445	39915	4832
446	39964	4738
447	40013	4644
448	40071	4551
449	40122	4458
450	40171	4364
451	40220	4271
452	40270	4178
453	40317	4085
454	40365	3992
455	40414	3899
456	40463	3807
457	40510	3714
458	40560	3623
459	40606	3530
460	40657	3439
461	40697	3347
462	40743	3255
463	40791	3164
464	40835	3073
465	40877	2982
466	40921	2891
467	40969	2801
468	41014	2710
469	41058	2620
470	41103	2530
471	41153	2441
472	41201	2351
473	41248	2262
474	41298	2173
475	41348	2084
476	41399	1996
477	41453	1907
478	41503	1819
479	41555	1731
480	41609	1643
481	41655	1555
482	41710	1468
483	41756	1380
484	41801	1292
485	41853	1205
486	41905	1118
487	41952	1031
488	42002	944
489	42047	858
490	42094	771
491	42150	685
492	42214	599
493	42265	513
494	42311	427
495	42359	341
496	42407	255
497	42456	170
498	42501	85
499	42545	0
07
494	66514	671
495	66569	536
496	66638	402
497	66695	267
498	66765	133
499	66826	0
0	0
